importId;name;code;description;internalDescription;productSubTypeSelect;productFamily.importId;productCategory.importId;expense;procurementMethodSelect;unit.importId;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;defaultSupplierPartner.importId;startDate;endDate;saleSupplySelect;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial.importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig.importId;manageVariantPrice
172;NICHOIRS & MANGEOIRES         EDITIONS DE SAXE              ;61148000;"<p>Nos jardins privatifs peuvent devenir tr&egrave;s vite une v&eacute;ritable oasis pour les petits animaux. Il ne faut pas grand-chose pour cr&eacute;er un endroit propice : il suffit d&rsquo;am&eacute;nager le jardin de mani&egrave;re un peu plus naturelle et d&rsquo;y suspendre quelques nichoirs originaux qui, apr&egrave;s quelques coups de pinceau, deviennent des &eacute;l&eacute;ments de d&eacute;coration uniques. Gr&acirc;ce aux explications d&eacute;taill&eacute;es en pas &agrave; pas, m&ecirc;me les bricoleurs du dimanche peu &eacute;quip&eacute;s n&rsquo;auront aucun mal &agrave; construire tous les nichoirs pr&eacute;sent&eacute;s dans ce livre.</p>";Réf. fournisseur : G46728;;7;128;false;buy;1;storable;7.62;EUR;6.5166;EUR;21;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/5/5/7/3/5573.jpg;;;
173;CALENDRIERS DE NOEL           EDITIONS DE SAXE              ;61148400;;Réf. fournisseur : G46747;;7;43;false;buy;1;storable;7.62;EUR;6.5166;EUR;21;TODAY[1d];;1;;false;;false;;;;;;;
174;CRECHES DE NOEL               EDITIONS DE SAXE              ;61148500;;Réf. fournisseur : G46748;;7;43;false;buy;1;storable;7.62;EUR;6.5166;EUR;21;TODAY[1d];;1;;false;;false;;;;;;;
175;LES BOULES DE NOEL            LES EDITIONS DE SAXE          ;61148600;;Réf. fournisseur : G46749;;7;43;false;buy;1;storable;7.62;EUR;6.5166;EUR;21;TODAY[1d];;1;;false;;false;;;;;;;
176;LES TRESORS DE NOEL           EDITIONS DE SAXE              ;61148700;;Réf. fournisseur : G46745;;7;43;false;buy;1;storable;11.85;EUR;10.1659;EUR;21;TODAY[1d];;1;;false;;false;;;;;;;
177;LE GRAND LIVRE DES NUANCIERS  FLEURUS                       ;61151800;"<p>1500 recettes de m&eacute;langes pour peindre &agrave; l'huile, &agrave; l'aquarelle ou &agrave; l'acrylique ! Un outil indispensable aux artistes pour obtenir &agrave; coup s&ucirc;r la nuance ad&eacute;quate et doser exactement les couleurs gr&acirc;ce aux deux grilles en plastique d&eacute;tachables incluses dans le livre.</p>";;;7;133;false;buy;1;storable;14.96;EUR;14.218;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/2/1/6221.jpg;;;
178;MOUVEMENTS & EXP ATELIER MANGAFLEURUS                       ;61152100;"<p>Un nouveau titre incontournable qui va ravir les apprentis mangakas! - Pour apprendre &agrave; dessiner les personnages, sugg&eacute;rer leurs mouvements et leurs expressions. - Pour composer un univers f&eacute;erique habit&eacute; par les cr&eacute;atures extraordinaires.</p>";;;7;139;false;buy;1;storable;6.15;EUR;5.6872;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/2/3/6223.jpg;;;
179;HUILE INITIATION PAS A PAS    FLEURUS                       ;61152600;"<div id=""produit-description"">
<p>Pour d&eacute;buter, apprenez &agrave; peindre en une s&eacute;ance !</p>
<p>10 mod&egrave;les &agrave; peindre pas &agrave; pas et 10 focus techniques pour apprendre &agrave; manier<br /> couleurs et pinceaux en toute simplicit&eacute; et peindre en une s&eacute;ance paysages, portraits<br /> et natures mortes.</p>
</div>";;;7;15;false;buy;1;storable;8.96;EUR;8.5024;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/5/7/7/4/5774.jpg;;;
180;SUMI-E ART DU LAVIS JAPONAIS  CAHIERS DU PEINTRE MANGO      ;61153100;"<p>L'art du lavis japonais. Pour peindre &agrave; l'encre plus ou moins dilu&eacute;e les sujets typiques de l'art japonais.</p>";;;7;149;false;buy;1;storable;5.4;EUR;5.088;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/3/1/6231.jpg;;;
181;NOUVEAUX BRACELETS BRESILIENS FLEURUS                       ;61154400;"<p>Plus de 50 mod&egrave;les de bracelets br&eacute;siliens classiques et originaux, tout simples ou plus &eacute;labor&eacute;s, &agrave; r&eacute;aliser &eacute;tape par &eacute;tape. Cama&iuml;eux tr&egrave;s doux, damiers de toutes les couleurs, versions &agrave; poser sur son poignet et d&rsquo;autres &agrave; attacher en porte-cl&eacute;s, sans oublier les bracelets d&rsquo;humeur et leurs petits smileys&hellip; Toutes les fantaisies sont permises !</p>
<p>Avec mes cr&eacute;ations&hellip;, concevoir des objets et bijoux tendance est &agrave; la port&eacute;e de toutes !</p>";;;7;127;false;buy;1;storable;6.0;EUR;5.6872;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/4/5/6245.jpg;;;
