importId;code;name;parent_code
235;FEUT;FEUTRES TABLEAU BLANC ;14
236;DORU;DORURE EN FEUILLES ;37
237;DORU;DORURE A LA CIRE ;37
238;DORU;DORURE LIQUIDE ;37
239;DORU;DORURE A L'ASSIETTE ;37
240;EPIS;EPISCOPES ;36
241;PROJ;PROJECTEUR ;36
242;FEUT;FEUTRES RETROPROJECTION ;14
243;COUT;COUTEAUX A PEINDRE ;47
244;PASS;PASSE-PARTOUT ;49
245;CADR;CADRES STANDARDS ;50
246;TIGE;TIGES, FILS ET CABLES D'ACCROCHAGE ;51
247;CROC;CROCHETS ;51
248;CIMA;CIMAISES ;51
249;ACCE;ACCESSOIRES ;51
250;OUTI;OUTILS DE MESURE ET TRACAGE ;52
251;OUTI;OUTILS ENCADREMENT ;53
252;QUIN;QUINCAILLERIE ;54
253;DORU;DORURE EN PATE ;37
254;BAGU;BAGUETTES FANTAISIES ;55
255;OUTI;OUTILS RELIURE ;56
256;TOIL;TOILES/PAPIERS/SKIVERTEX ;57
257;ADHE;ADHESIFS ENCADREMENT ;58
258;TOIL;TOILE ADHESIVE ;58
259;PLUM;PLUMES ET PORTE-PLUME ;59
260;PINC;PINCEAUX DE CALLIGRAPHIE ;59
261;COFF;COFFRET CALLIGRAPHIE ;59
262;CRAY;CRAYONS GRAPHITE ;33
263;ENCR;ENCRE DE COULEURS ;25
264;ACCE;ACCESSOIRES CALLIGRAPHIE ;59
265;ENCR;ENCRE CALLIGRAPHIE ;25
266;STYL;STYLO ET FEUTRE CALLIGRAPHIE ;59
267;CRAI;CRAIE SCOLAIRE ;60
268;PAST;PASTELS A LA CIRE ;60
269;CRAI;CRAIES AQUARELLABLES ;61
270;PAST;PASTEL HUILE ;60
271;CARR;CARRE ;60
272;CRAI;CRAIES ;16
273;PAST;PASTEL SEC ;60
274;ESTO;ESTOMPE ;33
275;ACCE;ACCESSOIRES DIVERS ;21
276;ADJU;ADJUVANTS PASTEL ;17
277;ADJU;ADJUVANTS AQUARELLE ET GOUACHE ;17
